ID,First Name,Last Name,Gender,Education,Date Of Joining,Display Name,Status,Phone Number,Designation,UID
00001,Denys,Keetch,Female,Far Eastern State University,Dec 28 2014,Denys Keetch (Contractor),Inactive,697-557-0275,Teacher,dkeet,
00002,Emiline,Hattoe,Female,Le Moyne College,Jan 01 2017,Emiline Hattoe,Active,660-534-9549,Senior Editor,ehatt,
00003,Pris,Phythean,Female,Canterbury Christ Church University,Dec 30 2007,Pris Phythean,Inactive,334-612-6903,Nurse,pphyt,
00004,Lilias,Wrist,Female,University of Piraeus,Dec 29 2019,Lilias Wrist (Contractor),Active,859-746-0777,Sales Representative,lwris,
00005,Eustace,Castro,Male,Selangor Islamic University College,Dec 27 2015,Eustace Castro,Inactive,473-337-7833,Operator,ecast,
00006,Witty,Bindon,Male,Universidade Catolica Portuguesa,Dec 30 2018,Witty Bindon (Contractor),Active,882-333-5119,Mechanical Systems Engineer,wbind,
00007,Rick,Iston,Male,Siebold University of Nagasaki,Dec 30 2018,Rick Iston (Contractor),Inactive,118-470-0398,Cost Accountant,risto,
00008,Rik,Tuxell,Male,Standford Online University,Jan 01 2012,Rik Tuxell,Inactive,526-288-7053,Automation Specialist I,rtuxe,
00009,Timmie,Gutowska,Female,Universidade de Santo Amaro,Dec 28 2008,Timmie Gutowska (Contractor),Active,501-866-0426,Civil Engineer,tguto,
00010,Park,MacCarrick,Male,Swinburne University of Technology,Jan 01 2012,Park MacCarrick,Active,379-408-2194,Geologist III,pmacc,
00011,Pranathi,Vangala,Female,Canterbury Christ Church University,Dec 30 2007,Pranathi Vangala,Inactive,334-612-6903,Nurse,pvang,
00012,Priyanka ,Vangala,Female,University of Piraeus,Dec 29 2019,Priyanka  Vangala (Contractor),Active,859-746-0777,Sales Representative,pvang,
