ID,Last Name,Gender,G,UID,Date of Joining,Status,Phone Number,Designation,Display Name,Epoch Date
00001,Denys,Keetch,F,DKee,Sun Aug 09 00:00:00 CDT 2015,Inactive,697-557-0275,Teacher,Denys Keetch (Contractor),1441688400
00002,Emiline,Hattoe,F,EHat,Mon Sep 03 00:00:00 CDT 2018,Active,660-534-9549,Senior Editor,Emiline Hattoe,1490072400
00003,Pris,Phythean,F,PPhy,Mon Feb 04 00:00:00 CST 2008,Inactive,334-612-6903,Nurse,Pris Phythean,1207112400
00004,Lilias,Wrist,F,LWri,Fri Nov 12 00:00:00 CST 2021,Active,859-746-0777,Sales Representative,Lilias Wrist (Contractor),1608703200
00005,Eustace,Castro,M,ECas,Sat Jul 01 00:00:00 CDT 2017,Inactive,473-337-7833,Operator,Eustace Castro,1453183200
00006,Witty,Bindon,M,WBin,Thu Feb 11 00:00:00 CST 2021,Active,882-333-5119,Mechanical Systems Engineer,Witty Bindon (Contractor),1574748000
00007,Rick,Iston,M,RIst,Sat Jan 04 00:00:00 CST 2020,Inactive,118-470-0398,Cost Accountant,Rick Iston (Contractor),1555131600
00008,Rik,Tuxell,M,RTux,Thu May 08 00:00:00 CDT 2014,Inactive,526-288-7053,Automation Specialist I,Rik Tuxell,1346216400
00009,Timmie,Gutowska,F,TGut,Tue Aug 03 00:00:00 CDT 2010,Active,501-866-0426,Civil Engineer,Timmie Gutowska (Contractor),1237525200
00010,Park,MacCarrick,M,PMac,Fri Nov 02 00:00:00 CDT 2012,Active,379-408-2194,Geologist III,Park MacCarrick,1328940000
00011,Pranathi,Vangala,F,PVan,Mon Feb 04 00:00:00 CST 2008,Inactive,334-612-6903,Nurse,Pranathi Vangala,1207112400
00012,Priyanka ,Vangala,F,PVan,Fri Nov 12 00:00:00 CST 2021,Active,859-746-0777,Sales Representative,Priyanka  Vangala (Contractor),1608703200
